layer,k_head_median_r95,k_head_max_r95,q_head_median_r95,q_head_max_r95,union_median_r99,union_max_r99,residual_at_64,residual_at_96,residual_at_128
0,110,113,108,114,468,477,0.3265234902501106,0.12156926840543747,0.0
1,105,111,103,111,464,479,0.23576045036315918,0.08182000368833542,0.0
2,109,114,107,112,477,481,0.26200978457927704,0.09770223498344421,0.0
3,105,114,104,110,468,476,0.23388447612524033,0.08402222394943237,0.0
4,105,113,105,112,470,478,0.24751465767621994,0.09170211106538773,0.0
5,108,114,106,115,473,483,0.2598189413547516,0.09065426141023636,0.0
6,108,112,106,111,472,476,0.26790132373571396,0.09650793671607971,0.0
7,109,114,105,111,472,479,0.24961362779140472,0.09392265975475311,0.0
8,107,110,106,111,470,475,0.2633402869105339,0.08860710263252258,0.0
9,103,110,103,111,463,475,0.20386291295289993,0.07009463012218475,0.0
10,107,109,104,110,463,478,0.26917939633131027,0.09029024839401245,0.0
11,107,108,106,109,471,475,0.24841050803661346,0.08069868385791779,0.0
12,104,108,104,110,465,474,0.22444047778844833,0.07267804443836212,0.0
13,99,108,100,110,460,472,0.2058081552386284,0.06377021968364716,0.0
14,106,110,106,111,468,471,0.2419968768954277,0.08001699298620224,0.0
15,100,109,103,108,456,469,0.1996319741010666,0.06152894347906113,0.0
16,102,105,103,110,461,467,0.2018452137708664,0.062243930995464325,0.0
17,98,106,101,108,450,467,0.18118956685066223,0.057995088398456573,0.0
18,100,107,103,109,460,470,0.2015242725610733,0.06015121191740036,0.0
19,102,105,102,109,453,466,0.18575014919042587,0.05934372544288635,0.0
20,97,104,98,107,446,459,0.167143777012825,0.05240841954946518,0.0
21,104,108,103,109,456,468,0.21848399192094803,0.07116974145174026,0.0
22,102,104,101,107,453,464,0.1850532442331314,0.05986517667770386,0.0
23,101,108,102,109,456,469,0.19926640391349792,0.06650632619857788,0.0
24,104,111,103,109,453,470,0.21726693958044052,0.07252251356840134,0.0
25,108,111,109,113,473,479,0.26422595977783203,0.09409281611442566,0.0
26,105,112,108,112,468,476,0.24097807705402374,0.08443383127450943,0.0
27,109,112,107,114,469,480,0.24756407737731934,0.08864595741033554,0.0
28,109,114,109,113,473,480,0.27849163115024567,0.10096412897109985,0.0
29,100,113,105,113,460,485,0.2229727879166603,0.07744283974170685,0.0
30,110,113,112,115,481,484,0.27553535252809525,0.10189776867628098,0.0
31,111,112,110,114,478,484,0.26517944037914276,0.09550196677446365,0.0
32,108,113,107,115,470,486,0.23586896061897278,0.08302854746580124,0.0
33,100,113,99,112,444,480,0.22109322994947433,0.06860890239477158,0.0
34,101,111,104,113,457,483,0.2227666974067688,0.07218482345342636,0.0
35,110,113,111,115,481,484,0.30840110033750534,0.11398585885763168,0.0
