label,ctk,ctv,n_prompt,n_gen,ngl,pp_tok_s,tg_tok_s,elapsed_sec
F16_F16,f16,f16,512,128,0,57.45,9.42,116
F16_F16,f16,f16,2048,128,0,53.80,8.25,271
F16_F16,f16,f16,4096,128,0,49.25,9.22,487
Q8_F16,q8_0,f16,512,128,0,46.17,9.30,126
Q8_F16,q8_0,f16,2048,128,0,46.64,8.49,297
Q8_F16,q8_0,f16,4096,128,0,45.44,9.14,522
TQ4_F16,tq4_0,f16,512,128,0,43.45,9.30,130
TQ4_F16,tq4_0,f16,2048,128,0,44.93,9.14,299
TQ4_F16,tq4_0,f16,4096,128,0,42.04,9.16,559
TQ4_TQ4,tq4_0,tq4_0,512,128,0,41.68,9.17,133
TQ4_TQ4,tq4_0,tq4_0,2048,128,0,39.57,9.19,330
TQ4_TQ4,tq4_0,tq4_0,4096,128,0,34.48,9.08,667
